bar,beer,price
"Rhodos","Sandbagger Gold",2.5
"Rhodos","Full Moon Winter Ale",3.25
"Rhodos","Certified Organic India Pale Ale",3.0
"Rottger","Whitetail Wheat",3.25
"Rottger","Never Summer Ale",3.75
"Rottger","La Folie Falling Rock",3.25
"My Coffee Backshop","Hitachino Nest Espresso Stout",3.0
"My Coffee Backshop","Full Sail",3.5
"My Coffee Backshop","Danger Ale",2.75
"Grunsels Bornchen","Bigfoot 2002",2.25
"Grunsels Bornchen","Cardinal Pale Ale",3.0
"RISTORANTE BELLA VISTA IN WI-KLOPPENHEIM","Furious Beer",3.0
"RISTORANTE BELLA VISTA IN WI-KLOPPENHEIM","Espresso Porter",3.0
"RISTORANTE BELLA VISTA IN WI-KLOPPENHEIM","Bridal Ale 2005",2.0
"Melo","Yeti Special Export",3.0
"Melo","La Divine Double Blond",3.25
"Wetzlarer Hof","Falcon Pale Ale",2.75
"Wetzlarer Hof","Fat Belly Amber",3.25
"Pizzeria Santa Lucia","Petrus Gouden Tripel Ale",2.0
"Pizzeria Santa Lucia","Saison Imperiale",3.75
"Pizzeria Santa Lucia","471 Extra ESB",2.5
"Pizzeria Santa Lucia","Cardinal Pale Ale",3.75
"Lesecafe","Isolation Ale",2.75
"Lesecafe","La Divine Double Blond",2.5
"Lesecafe","Yuengling Lager",3.25
"La Galleria","Podge Belgian Imperial Stout",3.5
"La Galleria","Grand Cru",3.0
"La Galleria","Ringwood Brewery Old Thumper Extra Special Ale",3.25
"La Galleria","Sharptail Pale Ale",2.5
"Super-Guru","Lump of Coal Dark Holiday Stout",2.75
"Super-Guru","Cold Hop",2.75
"Super-Guru","Yeti Special Export",3.25
"Super-Guru","Modern Monks Belgian Blonde",3.5
"Taverne Kavala","Adriaan",3.25
"Taverne Kavala","Certified Organic India Pale Ale",3.25
"Taverne Kavala","Irish Red",3.25
"Taverne Kavala","Bender Beer",3.25
"Ristorante al dente da Pino","Certified Organic India Pale Ale",3.25
"Ristorante al dente da Pino","Old Guardian Barley Wine 2007",2.5
"Cubana","Bigfoot 2004",2.75
"Cubana","Coney Island Lager",2.75
"Cubana","Nut Cracker Ale",3.25
"Cubana","Budweiser",3.0
"Cubana","Petrus Oud Bruin",3.0
"Burgerstuben","Oak Aged Ebenezer",3.5
"Burgerstuben","La Moneuse",2.75
"Metropolis Lounge Bensheim","Budweiser",2.75
"Metropolis Lounge Bensheim","Cinder Cone Red",3.0
"Metropolis Lounge Bensheim","Steelie Brown Ale",3.25
"Metropolis Lounge Bensheim","Okocim Porter",3.0
"Miro's","JuJu Ginger",3.0
"Miro's","La Divine Tripel Amber",2.5
"Sushi Bar Yokohama","Jenlain Blonde",3.25
"Zur frischen Quelle","Bigfoot 2002",3.5
"Zur frischen Quelle","Robert the Bruce Scottish Ale",2.75
"Zur frischen Quelle","Festive Ale 2007",3.5
"Zur frischen Quelle","Warm Welcome Nut Browned Ale",2.75
"Zur frischen Quelle","Yuengling Lager",2.25
"Bella Mia","Irish Red",3.5
"Bella Mia","Organic Gingerbread Ale",3.25
"Bella Mia","Duke IPA",3.0
"Bella Mia","Kriek",3.75
"Inspektorenhaus","Calabaza Blanca",3.0
"Inspektorenhaus","Triple Exultation Old Ale",2.25
"Inspektorenhaus","God Jul - Winter Ale",2.75
"Inspektorenhaus","Belgian Wit",2.5
"Inspektorenhaus","Old Bawdy 2006",2.5
"Alte Liebe","Double India Pale Ale",2.5
"Alte Liebe","Full Moon Winter Ale",3.5
"Alte Liebe","Mephistopheles Stout",2.75
"Wein Zeit","Equinox Dark Belgian Winter",3.25
"Locanda in der Alten Post Inh.Wolfgang Janke","Robert the Bruce Scottish Ale",3.25
"Locanda in der Alten Post Inh.Wolfgang Janke","Nitro Porter",3.5
"Locanda in der Alten Post Inh.Wolfgang Janke","Icehouse",3.0
"Locanda in der Alten Post Inh.Wolfgang Janke","Okocim Porter",2.25
"Akebono","Fat Belly Amber",3.0
"Akebono","Zoetzuur Flemish Ale",3.0
"Akebono","Ultrablonde",2.25
"Akebono","Pannepot",2.25
"Akebono","Bigfoot 2005",2.5
"Akebono","Warrior IPA",2.5
"Gaststatte Bosphorus","Oktoberfest Weizen",2.25
"Gaststatte Bosphorus","Podge Belgian Imperial Stout",3.0
"Gaststatte Bosphorus","Obovoid Empirical Stout",3.0
"Gaststatte Bosphorus","Winter Welcome 2007-2008",3.0
"Gaststatte Bosphorus","Equinox Dark Belgian Winter",3.25
"Gaststatte Bosphorus","Old Boardhead 2006",2.5
"Borsch Anni Imbiss","Old Guardian Barley Wine 2007",3.0
"Borsch Anni Imbiss","Amstel",3.0
"Restaurant Ganesha","Furious Beer",1.75
"Restaurant Ganesha","Bourbon County Stout 2007",3.25
"Restaurant Ganesha","Chocolate Stout",3.0
"Maestro Schneider's - Jagdhotel Rose","Podge Belgian Imperial Stout",2.5
"Maestro Schneider's - Jagdhotel Rose","Extra Strong Vintage Ale",2.75
"Maestro Schneider's - Jagdhotel Rose","God Jul - Winter Ale",3.5
"Maestro Schneider's - Jagdhotel Rose","Kerst Pater Special Christmas Beer",3.25
"Stadtcafe Treppenstrasse GmbH","Falcon Pale Ale",3.5
"Stadtcafe Treppenstrasse GmbH","Bond Street 19th Anniversary",3.0
"Stadtcafe Treppenstrasse GmbH","OSB Premium Ale",2.75
"Stadtcafe Treppenstrasse GmbH","Biere de Mars",2.5
"Doner-Pizzeria","Isolation Ale",3.5
"Doner-Pizzeria","WPA (Wheat Pale Ale)",3.0
"Doner-Pizzeria","Big Shot Seasonal Ale",3.5
"Artemis Palace","La Divine Tripel Amber",3.0
"Artemis Palace","JuJu Ginger",2.5
"Artemis Palace","Triple Dipsea Belgian",3.5
"Artemis Palace","Never Summer Ale",3.0
"Artemis Palace","Hitachino Nest Espresso Stout",3.25
"Strandperle Bistro and Bar","Zoetzuur Flemish Ale",2.75
"Strandperle Bistro and Bar","Gavroche French Red Ale",2.75
"Strandperle Bistro and Bar","Flemish Primitive Wild Ale (Pin Head)",3.0
"Zum Stiftskammerer","God Jul - Winter Ale",2.5
"Zum Stiftskammerer","Strange Ghost",3.5
"Zum Stiftskammerer","Yeti Special Export",3.0
"China Haus Chui, Kiet Zhanh","Sandbagger Gold",3.25
"China Haus Chui, Kiet Zhanh","Stillwater Rye",2.5
"China Haus Chui, Kiet Zhanh","JuJu Ginger",2.75
"Hotel Rheinstein","Dark Ale",3.25
"Hotel Rheinstein","OSB Premium Ale",2.75
"Hotel Rheinstein","Pannepot",2.75
"Hotel Rheinstein","Zoetzuur Flemish Ale",3.0
"Spektrum","Weizengold Hefefein",2.75
"Spektrum","Flemish Primitive Wild Ale (Spoon Whacker)",3.0
"Spektrum","Furious Beer",3.0
"Spektrum","Bigfoot 2001",3.5
"Spektrum","Guinness",2.75
"Felseneck","Irish Red",2.25
"Felseneck","Fat Belly Amber",2.75
"Kutschereck Griechische Spezialitaten","Fourteen",3.25
"Kutschereck Griechische Spezialitaten","Beer Geek Breakfast",2.75
"Marktstube","Bourbon Barrel Porter",3.25
"Zum Grauen Bock","WPA (Wheat Pale Ale)",3.0
"Zum Grauen Bock","Sandbagger Gold",3.25
"Zum Grauen Bock","Trumpeter",3.0
"Zum Grauen Bock","Never Summer Ale",3.25
"Burger Fahrhaus","Adriaan",2.5
"Burger Fahrhaus","Winter Ale",3.25
"Burger Fahrhaus","Killer Penguin",2.75
"Burger Fahrhaus","Framboise",3.25
"Gaststatte Gruner Baum","Adriaan",3.25
"Gaststatte Gruner Baum","Winter",2.75
"Gruner Baum","Geist Bock",3.25
"Gruner Baum","Grand Cru",3.25
"Hotel Adler","Cocoa Porter",3.25
"Zauberwald","Grand Cru",3.5
"Zauberwald","Oatmeal Stout",2.5
"mauergasse","Flemish Primitive Wild Ale (Spoon Whacker)",3.0
"mauergasse","Ename Tripel",2.5
"mauergasse","Cinder Cone Red",3.0
"mauergasse","Bent Nail IPA",3.0
"Urfa Kebap Haus","Imperial Hefeweizen",3.25
"Urfa Kebap Haus","Whitetail Wheat",3.0
"Pizzeria Albatros","Odell IPA",2.75
"Pizzeria Albatros","Zoetzuur Flemish Ale",3.25
"Pizzeria Albatros","Petrus Blond Ale",3.25
"Pizzeria Albatros","Bond Street 19th Anniversary",3.25
"Zum Heidekuppel","Bigfoot 2004",3.25
"Zum Heidekuppel","Kriek",3.0
"Zum Heidekuppel","Framboise",2.5
"Restaurante Raffaele","American Pale Ale",2.75
"Restaurante Raffaele","Framboise",3.5
"Restaurante Raffaele","God Jul - Winter Ale",2.5
"Zum Bizzenbachtal","Bigfoot 2005",3.5
"Zum Bizzenbachtal","Espresso Porter",2.5
"Gargantua","Oak Aged Ebenezer",2.75
"Restaurant Zum kleinen Italiener","Zinnebir",3.25
"Restaurant Zum kleinen Italiener","Equinox Dark Belgian Winter",3.5
"Restaurant Zum kleinen Italiener","Guinness",2.75
"Pizzeria Euro Doner","Falcon Pale Ale",2.75
"Pizzeria Euro Doner","Northern Light Lager",2.75
"Pizzeria Euro Doner","Steelie Brown Ale",3.25
"Pizzeria Euro Doner","Bigfoot 2002",2.5
"Pizzeria Euro Doner","Duke IPA",3.0
"Luna Bar","Zinnebir",3.0
"Luna Bar","Cardinal Pale Ale",2.25
"Luna Bar","Extra Strong Vintage Ale",3.0
"Luna Bar","OSB Premium Ale",3.0
"Yorgun","Biere de Mars",3.25
"Yorgun","Bigfoot 2002",2.5
"Yorgun","Oatmeal Stout",2.75
"Yorgun","Full Moon Winter Ale",3.0
"Yorgun","Cardinal Pale Ale",3.0
"Grohe","God Jul - Winter Ale",3.0
"Grohe","Slaapmutske Triple Nightcap",3.25
"Grohe","Bridal Ale 2005",3.25
"Grohe","Triple Exultation Old Ale",3.5
"Brunnenwarterhaus","Petrus Speciale",3.5
"Brunnenwarterhaus","White Christmas",3.0
"Brunnenwarterhaus","Coney Island Lager",2.0
"Zum Spitzer","Bourbon County Stout 2007",3.25
"Zum Spitzer","Fourteen",3.0
"k'ties Petite France","Festive Ale 2007",3.5
"k'ties Petite France","Flemish Primitive Wild Ale (Spoon Whacker)",3.0
"k'ties Petite France","Dark Ale",3.25
"GSV Gundernhausen Helga Kaiser","Steelie Brown Ale",3.0
"GSV Gundernhausen Helga Kaiser","Petrus Gouden Tripel Ale",2.5
"GSV Gundernhausen Helga Kaiser","Trumpeter",2.75
"GSV Gundernhausen Helga Kaiser","Strange Ghost",2.75
"Yours Australian Bar","Bourbon County Stout 2007",3.75
"Yours Australian Bar","Killer Penguin",3.0
"Yang-Ji","Grand Cru",3.25
"Yang-Ji","Slaapmutske Triple Nightcap",3.0
"Yang-Ji","Nitro Porter",2.5
"Yang-Ji","Whitetail Wheat",3.5
"Pizzeria Primavera","Oatmeal Stout",2.5
"Pizzeria Primavera","Budweiser",3.25
"Pizzeria Primavera","Bender Beer",2.0
"Pizzeria Primavera","Grand Cru",2.75
"Bierbrunnen","Corona",2.75
"Bierbrunnen","Yuengling Lager",3.25
"Bierbrunnen","Cardinal Pale Ale",3.0
"Bierbrunnen","Bigfoot 2001",3.0
"Schlemmer Grill","Corona",3.0
"Pizza-Haus Zicke","Sandbagger Gold",3.25
"Pizza-Haus Zicke","Cold Hop",3.25
"Pizza-Haus Zicke","Festive Ale 2007",3.25
"Pfeffer & Salz","Fat Belly Amber",3.25
"Pfeffer & Salz","Isolation Ale",3.25
"Pfeffer & Salz","Morocco Ale",3.0
"Pfeffer & Salz","Stillwater Rye",3.5
"La Terrazza","Imperial Hefeweizen",2.75
"La Terrazza","Oatmeal Stout",3.25
"Leonhards","Bent Nail IPA",2.75
"Leonhards","Equinox Dark Belgian Winter",3.0
"Eiscafe Rialto","White Christmas",3.75
"Eiscafe Rialto","Odell IPA",3.5
"Gaststatte Riedbahnklause","Glacier Ale",2.0
"Gaststatte Riedbahnklause","Petrus Speciale",2.25
"Gaststatte Riedbahnklause","Organic Gingerbread Ale",2.5
"Gaststatte Riedbahnklause","La Divine Tripel Amber",3.5
"Tadim","Triple Dipsea Belgian",3.5
"Tadim","American Pale Ale",3.5
"Tadim","Cocoa Porter",2.75
"Gaststatte Metzger","The Kidd Lager",1.75
"Lapp","Imperial Stout",3.0
"Pik-Dame","Nugget",3.25
"Restaurant Memory","American Pale Ale",2.25
"Grunsels Bornchen","Imperial Hefeweizen",3.75
