drinker,beer
Cassie,"Bent Nail IPA"
Cassie,"Festive Ale 2007"
Cassie,"Beer Geek Breakfast"
Maria,"Pabst Blue Ribbon"
Maria,"Pale Ale"
Maria,"Old Stock Ale 2007"
Devin,"Porter"
Devin,"Ename Tripel"
Devin,"Glacier Ale"
Devin,"Woody Organic IPA"
Devin,"Biere de Mars"
Ricky,"Zinnebir"
Ricky,"Corona"
Ricky,"Budweiser"
Ricky,"Guinness"
Kaitlyn,"Whitetail Wheat"
Sandy,"Smoked Hefe"
Sandy,"Furious Beer"
Sandy,"Sandbagger Gold"
Sandy,"Warrior IPA"
Cathy,"Carnegie Stark-Porter"
Cathy,"Furious Beer"
Cathy,"Bond Street 19th Anniversary"
Caroline,"Sandbagger Gold"
Caroline,"Stillwater Rye"
Caroline,"Yeti Special Export"
Natasha,"471 Extra ESB"
Natasha,"Pabst Blue Ribbon"
Natasha,"Lump of Coal Dark Holiday Stout"
Natasha,"Coney Island Lager"
Natasha,"Pendle Witches Brew"
Diana,"Pannepot"
Diana,"Long Leg English Fuggles Hop Ale"
Diana,"Witte"
Derek,"Tanners Jack"
Derek,"Oatmeal Stout"
Derek,"Dos Equis"
Derek,"Ringwood Brewery Old Thumper Extra Special Ale"
Charlotte,"Cow Palace Scotch Ale 1998"
Charlotte,"Bender Beer"
Charlotte,"Pendle Witches Brew"
Charlotte,"American Pale Ale"
Charlotte,"Steelie Brown Ale"
Lucas,"Pannepot"
Lucas,"Petrus Oud Bruin"
Lucas,"Maracaibo Especial"
Patty,"Jenlain Blonde"
Patty,"Geist Bock"
Patty,"Big Shot Seasonal Ale"
Patty,"Bourbon Barrel Porter"
Katrina,"Equinox Dark Belgian Winter"
Alexander,"Espresso Porter"
Alexander,"Dos Equis"
Alexander,"Adriaan"
Alexander,"Leute Bok Bier"
Ray,"Oak Aged IPA"
Ray,"Fourteen"
Ray,"Saison Vielle Provision"
Whitney,"Hitachino Nest Espresso Stout"
Whitney,"Bender Beer"
Whitney,"Oak Aged IPA"
Whitney,"La Moneuse"
April,"Yeti Special Export"
Jon,"Petrus Dubbel Bruin Ale"
Jon,"Yeti Special Export"
Jon,"Amstel"
Patricia,"Jenlain Blonde"
Patricia,"JuJu Ginger"
Patricia,"Never Summer Ale"
Patricia,"Hitachino Nest Espresso Stout"
Wanda,"471 Extra ESB"
Wanda,"Glacier Ale"
Wanda,"Smoked Hefe"
Ronald,"Cold Hop"
Ronald,"Bigfoot 2004"
Ronald,"Modern Monks Belgian Blonde"
Lydia,"Chocolate Stout"
Lydia,"Cocoa Porter"
Lydia,"Belgian Wit"
Sharon,"Morocco Ale"
Sharon,"Adriaan"
Sharon,"Winter"
Carla,"Equinox Dark Belgian Winter"
Carla,"Strange Ghost"
Omar,"Beer Geek Breakfast"
Omar,"Corona"
Omar,"Full Moon Winter Ale"
Erik,"Extra Strong Vintage Ale"
Erik,"Full Moon Winter Ale"
Erik,"Smoked Hefe"
Erik,"Jenlain Blonde"
Donald,"Amstel"
Donald,"Duke IPA"
Jacqueline,"Grand Cru"
Jacqueline,"Petrus Blond Ale"
Jacqueline,"Oatmeal Stout"
Jacqueline,"Bock"
Jacqueline,"La Folie Falling Rock"
Don,"Sandbagger Gold"
Don,"Never Summer Ale"
Don,"Old Bawdy 2006"
Gina,"La Divine Double Blond"
Gina,"Danger Ale"
Gina,"Organic Gingerbread Ale"
Fernando,"Winter"
Fernando,"Festive Ale 2007"
Fernando,"Warrior IPA"
Adrienne,"Hitachino Nest Real Ginger Brew"
Adrienne,"Oatmeal Stout"
Adrienne,"Cold Hop"
Adrienne,"Bourbon Barrel Porter"
Alexis,"Sandbagger Gold"
Alexis,"Steelie Brown Ale"
Marcus,"Cold Hop"
Marcus,"Double India Pale Ale"
Marcus,"Cardinal Pale Ale"
Yvonne,"Imperial Stout"
Yvonne,"Strange Ghost"
Yvonne,"La Moneuse"
Hannah,"Yuengling Lager"
Hannah,"Petrus Gouden Tripel Ale"
Hannah,"American Pale Ale"
Clinton,"Bender Beer"
Clinton,"Festive Ale 2007"
Yesenia,"Calabaza Blanca"
Yesenia,"White Christmas"
Donna,"Certified Organic Amber Ale"
Donna,"Certified Organic India Pale Ale"
Donna,"Witte"
Donna,"Petrus Blond Ale"
Denise,"Tanners Jack"
Denise,"Icehouse"
Denise,"Yuengling Lager"
Denise,"Triple Exultation Old Ale"
Kathryn,"Bock"
Kathryn,"Budweiser"
Kathryn,"Okocim Porter"
Ruth,"Flemish Primitive Wild Ale (Spoon Whacker)"
Ruth,"Bond Street 19th Anniversary"
Lori,"Furious Beer"
Lori,"Eisenbahn South American Pale Ale (S.A.P.A.)"
Lori,"Ultrablonde"
Lori,"Framboise"
Candace,"Crystal Ale"
Candace,"Falcon Pale Ale"
Jay,"Tanners Jack"
Jay,"OSB Premium Ale"
Jay,"Yeti Special Export"
Samuel,"Christmas Ale 2007"
Samuel,"Oak Aged IPA"
Samuel,"Adriaan"
Samuel,"Lump of Coal Dark Holiday Stout"
Carl,"La Divine Tripel Amber"
Carl,"Warrior IPA"
Carl,"Chocolate Stout"
Frances,"Bender Beer"
Frances,"Morocco Ale"
Frances,"Gavroche French Red Ale"
Frances,"Yeti Special Export"
Terrance,"Certified Organic Porter"
Terrance,"Framboise"
Terrance,"Stillwater Rye"
Theresa,"Cocoa Porter"
Theresa,"Oak Aged Ebenezer"
Theresa,"Cow Palace Scotch Ale 1998"
Cheryl,"Crystal Ale"
Cheryl,"Triple Exultation Old Ale"
Latoya,"Modern Monks Belgian Blonde"
Latoya,"Cocoa Porter"
Latoya,"Chocolate Stout"
Latoya,"Nut Cracker Ale"
Raymond,"Yuengling Lager"
Raymond,"Heineken"
Raymond,"Cow Palace Scotch Ale 1998"
Raymond,"Nitro Porter"
Marilyn,"Geist Bock"
Marilyn,"Saison Imperiale"
Marilyn,"Troll Porter"
Marilyn,"Pannepot"
Leonard,"Modern Monks Belgian Blonde"
Leonard,"Petrus Gouden Tripel Ale"
Jorge,"Organic Gingerbread Ale"
Jorge,"Odell Red Ale"
Jorge,"Bigfoot 2003"
Andre,"Organic Gingerbread Ale"
Andre,"La Moneuse"
Andre,"Bigfoot 2002"
Cynthia,"La Divine Tripel Amber"
Barbara,"Glacier Ale"
Barbara,"Cinder Cone Red"
Barbara,"Certified Organic India Pale Ale"
Barbara,"Winter Ale"
Clayton,"Pendle Witches Brew"
Clayton,"Winter Welcome 2007-2008"
Norman,"Dos Equis"
Norman,"Leute Bok Bier"
Norman,"Haymaker Extra Pale Ale"
Danielle,"Flemish Primitive Wild Ale (Spoon Whacker)"
Danielle,"Petrus Speciale"
Greg,"Equinox Dark Belgian Winter"
Greg,"Leute Bok Bier"
Greg,"Zoetzuur Flemish Ale"
Francisco,"Oak Aged Ebenezer"
Francisco,"JuJu Ginger"
Dakota,"Equinox Dark Belgian Winter"
Dakota,"Nut Cracker Ale"
Louis,"Christmas Ale 2007"
Louis,"Steelie Brown Ale"
Louis,"Petrus Oud Bruin"
Louis,"Tanners Jack"
Keith,"Espresso Porter"
Keith,"Pannepot"
Pamela,"Whitetail Wheat"
Pamela,"Icehouse"
Pamela,"Hitachino Nest Real Ginger Brew"
Lynn,"Pride & Joy Mild Ale"
Lynn,"Bigfoot 2005"
Kylie,"Oktoberfest Weizen"
Kylie,"Blue Moon"
Kylie,"Maracaibo Especial"
Sherri,"Fourteen"
Sherri,"God Jul - Winter Ale"
Sherri,"Biere de Mars"
Sherri,"Equinox Dark Belgian Winter"
Robin,"Zoetzuur Flemish Ale"
Robin,"Petrus Speciale"
Kristin,"Icehouse"
Kristin,"Kriek"
Kristin,"Harvest Ale 2002"
Claire,"Ultrablonde"
Claire,"Dos Equis"
Claire,"Yuengling Lager"
Veronica,"Festive Ale 2007"
Veronica,"Cow Palace Scotch Ale 1998"
Veronica,"Bridal Ale 2005"
Veronica,"Old Stock Ale 2007"
Sabrina,"Furious Beer"
Sabrina,"Pride & Joy Mild Ale"
Sabrina,"Slaapmutske Triple Nightcap"
Dean,"Bigfoot 2004"
Dean,"Woody Organic IPA"
Dean,"Pride & Joy Mild Ale"
Maurice,"La Divine Double Blond"
Maurice,"Jenlain Blonde"
Maurice,"Double India Pale Ale"
Maurice,"Canaster Winter Scotch"
Deanna,"Seriously Bad Elf"
Deanna,"Bigfoot 2002"
Deanna,"Dos Equis"
Kristina,"Furious Beer"
Kristina,"Hitachino Nest Espresso Stout"
Kristina,"Cardinal Pale Ale"
Alicia,"Petrus Speciale"
Alicia,"Lump of Coal Dark Holiday Stout"
Alicia,"Irish Red"
Chad,"Pride & Joy Mild Ale"
Chad,"Winter Welcome 2007-2008"
Teresa,"Saison Vielle Provision"
Teresa,"Triple Exultation Old Ale"
Teresa,"Bourbon Barrel Porter"
Teresa,"Equinox Dark Belgian Winter"
Teresa,"Oktoberfest Weizen"
Phyllis,"Weizengold Hefefein"
Phyllis,"Troll Porter"
Phyllis,"Certified Organic India Pale Ale"
Phyllis,"Old Bawdy 2006"
Chris,"Zinnebir"
Chris,"Imperial Stout"
Seth,"Long Leg English Fuggles Hop Ale"
Seth,"Stillwater Rye"
Seth,"Falcon Pale Ale"
Nathaniel,"Bourbon County Stout 2007"
Nathaniel,"Flemish Primitive Wild Ale (Pin Head)"
Sydney,"Bigfoot 2002"
Sydney,"Cow Palace Scotch Ale 1998"
Sydney,"Fat Belly Amber"
Erin,"Hitachino Nest Real Ginger Brew"
Erin,"Amstel"
Nichole,"Lump of Coal Dark Holiday Stout"
Nichole,"Old Bawdy 2006"
Nichole,"Triple Dipsea Belgian"
Nichole,"Equinox Dark Belgian Winter"
Edward,"Oktoberfest Weizen"
Edward,"Witte"
Edward,"Modern Monks Belgian Blonde"
Darrell,"Nitro Porter"
Darrell,"Jenlain Blonde"
Janice,"Christmas Ale 2007"
Janice,"Killer Penguin"
Janice,"Festive Ale 2007"
Benjamin,"Danger Ale"
Jo,"Okocim Porter"
Jo,"Flemish Primitive Wild Ale (Spoon Whacker)"
Jo,"Amstel"
Jo,"Organic Gingerbread Ale"
Jimmy,"Sandbagger Gold"
Jimmy,"Double India Pale Ale"
Jimmy,"Triple Dipsea Belgian"
Audrey,"Petrus Oud Bruin"
Audrey,"Steelie Brown Ale"
Audrey,"Harvest Ale 2002"
Audrey,"JuJu Ginger"
Ian,"Glacier Ale"
Mario,"Petrus Oud Bruin"
Mario,"Woody Organic IPA"
Mario,"Harvest Ale"
Mario,"Bigfoot 2005"
Cindy,"Witkap-Pater Tripel"
Cindy,"Certified Organic Amber Ale"
Cindy,"Lump of Coal Dark Holiday Stout"
Trevor,"OSB Premium Ale"
Trevor,"Icehouse"
Trevor,"Sandbagger Gold"
Jasmine,"Petrus Dubbel Bruin Ale"
Shannon,"Old Stock Ale 2007"
Shannon,"Ultrablonde"
Shannon,"Hitachino Nest Real Ginger Brew"
Shannon,"Triple Exultation Old Ale"
Edgar,"Yeti Special Export"
Edgar,"God Jul - Winter Ale"
Edgar,"Cardinal Pale Ale"
Brad,"Fourteen"
Brad,"Cold Hop"
Summer,"Nitro Porter"
Summer,"Canaster Winter Scotch"
Summer,"Troll Porter"
Angel,"Petrus Speciale"
Angel,"Bigfoot 2005"
Angel,"Sandbagger Gold"
Lindsey,"Woody Organic IPA"
Lindsey,"La Divine Tripel Amber"
Lindsey,"Calabaza Blanca"
Lindsey,"Bigfoot 2005"
Lindsey,"Pride & Joy Mild Ale"
Renee,"Slaapmutske Triple Nightcap"
Renee,"Crystal Ale"
Calvin,"Triple Dipsea Belgian"
Sara,"Ringwood Brewery Old Thumper Extra Special Ale"
Sara,"Witkap-Pater Tripel"
Marc,"Dos Equis"
Marc,"Never Summer Ale"
Frederick,"Irish Red"
Frederick,"Nut Cracker Ale"
Frederick,"Espresso Porter"
Madeline,"Weizengold Hefefein"
Madeline,"Warm Welcome Nut Browned Ale"
Madeline,"Bender Beer"
Madeline,"Steelie Brown Ale"
Brittney,"Dark Ale"
Brittney,"Espresso Porter"
Brittney,"Full Sail"
Brittney,"Leute Bok Bier"
Dominique,"Bigfoot 2001"
Dominique,"Bourbon Barrel Porter"
Tristan,"Danger Ale"
Latasha,"Maracaibo Especial"
Latasha,"Isolation Ale"
Latasha,"Steel Reserve"
Latasha,"Ultrablonde"
Latasha,"Blue Moon"
Arthur,"La Moneuse"
Arthur,"Oak Aged Ebenezer"
Arthur,"White Christmas"
Rita,"Trumpeter"
Rita,"Witkap-Pater Tripel"
Rita,"Glacier Ale"
Rita,"Oak Aged Ebenezer"
Laurie,"Fourteen"
Laurie,"Espresso Porter"
Judith,"Steel Reserve"
Judith,"Grand Cru"
Judith,"Jenlain Blonde"
Judith,"Warrior IPA"
Leah,"Festive Ale 2007"
Leah,"Duke IPA"
Leah,"Trumpeter"
Roger,"Amstel"
Roger,"Pannepot"
Gregory,"Nut Cracker Ale"
Julia,"Irish Red"
Julia,"Odell Red Ale"
Julia,"Mephistopheles Stout"
Julia,"Espresso Porter"
Julia,"Crystal Ale"
Julia,"Framboise"
Julia,"Isolation Ale"
Julia,"Twelve Days"
Eve,"The Kidd Lager"
Eve,"Imperial Stout"
Eve,"Nugget"
Eve,"American Pale Ale"
Eve,"Imperial Hefeweizen"
