drinker,bar,times_a_week
Russell,"La Terrazza",3
Russell,"Melo",3
Russell,"Turmschmiede",2
Russell,"Burger King",3
Molly,"Gosch Fisch-Bistro",3
Molly,"Eisenberg-Hutte Korbach Goldhausen",3
Molly,"Zur Ziegelhuette",4
Molly,"Taverne Kavala",3
Alexandra,"Artemis Palace",4
Alexandra,"Sachers Cafe Alte Munz",4
Alexandra,"Saftbar",3
Carolyn,"Kutschereck Griechische Spezialitaten",4
Carolyn,"El-Rayyan",3
Carolyn,"Wolfgangs",4
Kelli,"China Restaurant Kaiser",4
Kelli,"Bauschemer Stubb'che",2
Alan,"Tajinerie",3
Alan,"Alte Liebe",4
Alan,"Zum Lowen",3
Alan,"Zum Buchhugel",3
Alan,"Landgasthof Dorfschanke",2
Shawn,"Zur Platane",3
Shawn,"Altes Sudhaus",3
Shawn,"China Restaurant Kaiser",3
Cassie,"Cafe Hilde",4
Cassie,"Athos Inh. Andreas Nikolaou Griechisches Restaurante",4
Cassie,"Algarve",3
Maria,"Hexenkessel",2
Maria,"Es Bembelsche, Strausswirtschaft Dey",4
Maria,"Gasthof zum Ulmenstein, Harald Trapp",4
Maria,"Gaststatte Krackhof",4
Devin,"Strandperle Bistro and Bar",4
Devin,"Speisegaststatte Feldberg Gaststatten",2
Devin,"mauergasse",4
Devin,"Pizzeria Carlo",3
Ricky,"Ristorante Pizzeria Pierrot da Pino",4
Ricky,"Restaurant Feldbergblick",4
Ricky,"Starbucks",4
Kaitlyn,"Little Tokyo",4
Kaitlyn,"Yang-Ji",4
Sandy,"Starbucks",4
Sandy,"Faselstall",4
Cathy,"Pizzeria Albatros",4
Cathy,"Hansenhaus links",4
Cathy,"Rottger",3
Caroline,"Down Under Pub",3
Caroline,"Neu Kong Fondue Restaurant",3
Caroline,"Lapp",1
Natasha,"Bockenheimer Stubb",1
Natasha,"Bierbrunnen",4
Diana,"Mainterrasse Hassia",3
Diana,"Ristorante al dente da Pino",3
Diana,"Eisenberg-Hutte Korbach Goldhausen",4
Diana,"Land & Leute",3
Derek,"Bistro 1904 am Hotel Kurfurst Wilhelm I.",4
Derek,"Burgklause",4
Charlotte,"Restaurante Raffaele",3
Charlotte,"GSV Gundernhausen Helga Kaiser",3
Lucas,"Ratsstube",4
Lucas,"Hotel Rheinstein",4
Lucas,"Cubana",4
Patty,"Pik-Dame",2
Patty,"Restaurant Sterkel",2
Patty,"Landhaus Furstengarten",3
Patty,"Restaurant-Konoba "Zum Ritter"",3
Katrina,"Langenschwalbacher Schlemmer & Kultur Station",4
Katrina,"Zum Lowen",4
Katrina,"Rottger",3
Katrina,"Cubana",4
Alexander,"Alte Zollwache",3
Alexander,"Bauschemer Stubb'che",3
Alexander,"Gosch Fisch-Bistro",3
Alexander,"Daga",4
Ray,"The Edge",3
Ray,"Zweite Heimat",3
Ray,"Korea",4
Ray,"Bernemer Brunnchen",4
Whitney,"Restaurant Memory",4
Whitney,"Buen Gusto",3
Whitney,"Pizza und Pasta Tonini",4
April,"Melo",3
April,"Trattoria Promis",4
April,"Athos Inh. Andreas Nikolaou Griechisches Restaurante",4
April,"Pizzeria Bistro Leonardo",3
April,"Langenschwalbacher Schlemmer & Kultur Station",3
Jon,"Melo",3
Jon,"Korea",4
Jon,"Pizzeria I-tre Fratelli",4
Patricia,"Hellas Griechisches Restaurant",3
Patricia,"Sonne Inh. Leubecher",2
Patricia,"Rottger",3
Wanda,"IN+ART INos+ARTos",3
Wanda,"Down Under Pub",4
Wanda,"Bomatscher Elb-Panoramagaststatte Und Pension",2
Wanda,"Gaststatte Riedbahnklause",3
Ronald,"Schlossterasssen",4
Ronald,"Bistro 1904 am Hotel Kurfurst Wilhelm I.",3
Ronald,"Cubana",4
Lydia,"Mr. Thai Imbiss",3
Lydia,"Restaurant Ganesha",4
Lydia,"Bauschemer Stubb'che",4
Lydia,"Restaurant Sterkel",2
Lydia,"La",2
Sharon,"Speisegaststatte Feldberg Gaststatten",3
Sharon,"Taverne Kavala",3
Carla,"Gaststatte Bosphorus",4
Carla,"Goldener Anker",3
Carla,"Leonhards",4
Carla,"Tajinerie",4
Omar,"Bierbrunnen",3
Omar,"Rhodos",3
Erik,"Weiherhaus",4
Erik,"Bodega",2
Erik,"Luna Bar",2
Erik,"Sushi Bar Yokohama",4
Erik,"Tor zum Rennsteig",4
Donald,"Korea",3
Donald,"Restaurant Sonono",4
Jacqueline,"La Galleria",3
Jacqueline,"Wetzlarer Hof",4
Don,"China Haus Chui, Kiet Zhanh",2
Gina,"Dschingis Khan Au Garden",4
Gina,"Asian Wok",4
Fernando,"Pizzeria Bistro Leonardo",4
Fernando,"Landhaus Furstengarten",2
Adrienne,"Asian Wok",3
Adrienne,"Rhodos",4
Adrienne,"Restaurant-Konoba "Zum Ritter"",3
Adrienne,"Maestro Schneider's - Jagdhotel Rose",3
Alexis,"Hansenhaus links",1
Alexis,"China Haus Chui, Kiet Zhanh",4
Alexis,"Pizzeria Carlo",4
Alexis,"Metropolis Lounge Bensheim",3
Marcus,"Trattoria la Grappa",4
Marcus,"Grunsels Bornchen",4
Yvonne,"Urfa Kebap Haus",4
Hannah,"GSV Gundernhausen Helga Kaiser",4
Hannah,"Hooters American Sports Bar",3
Hannah,"Die Kneipp",4
Hannah,"Tadim",4
Clinton,"Pizzeria Avanti",4
Clinton,"Weingut Diefenhard",3
Clinton,"Algarve",1
Clinton,"Mr. Thai Imbiss",4
Yesenia,"Muckenwirt",3
Yesenia,"Buen Gusto",4
Yesenia,"Enchilada Kassel",4
Yesenia,"Donerhaus Dest",4
Donna,"Coffee Fellows",3
Donna,"Bodega",4
Donna,"Burgklause",4
Denise,"Astheimer Schlosschen",1
Kathryn,"Tajinerie",4
Kathryn,"Lesecafe",3
Kathryn,"Wolfgangs",3
Kathryn,"Restaurant Sterkel",4
Ruth,"Maestro Schneider's - Jagdhotel Rose",2
Ruth,"mauergasse",4
Ruth,"Stadt Berlin",4
Ruth,"Gasthaus Sonne",3
Lori,"Restaurant-Konoba "Zum Ritter"",4
Lori,"Gasthof zum Ulmenstein, Harald Trapp",2
Lori,"Pizza-Haus Zicke",4
Candace,"El-Rayyan",4
Candace,"Wolfgangs",3
Candace,"XO",3
Candace,"Wetzlarer Hof",3
Candace,"Stadtcafe Treppenstrasse GmbH",3
Jay,"Sushi Bar Yokohama",2
Jay,"Bayram Kebab House",3
Samuel,"Speisegaststatte Feldberg Gaststatten",4
Samuel,"Enchilada Kassel",4
Carl,"Bistro 1904 am Hotel Kurfurst Wilhelm I.",3
Carl,"Restaurant Ganesha",2
Carl,"Langenschwalbacher Schlemmer & Kultur Station",2
Carl,"Papanova",3
Frances,"Super-Guru",1
Frances,"Pizzeria Bistro Leonardo",4
Frances,"Athos Inh. Andreas Nikolaou Griechisches Restaurante",4
Terrance,"Restaurant Memory",2
Terrance,"Daga",3
Terrance,"Gasthaus Sonne",3
Terrance,"Maestro Schneider's - Jagdhotel Rose",2
Terrance,"Rhodos",3
Theresa,"Burgerstuben",3
Cheryl,"Enchilada Kassel",4
Cheryl,"Die Kneipp",2
Cheryl,"XO",1
Cheryl,"El-Rayyan",2
Latoya,"Tadim",4
Latoya,"Restaurant Hotel Bessunger Forst",4
Latoya,"Restaurant Sterkel",4
Latoya,"La",4
Latoya,"Algarve",3
Raymond,"Zur frischen Quelle",2
Raymond,"Gaststaette Oelgraben",4
Raymond,"Hooters American Sports Bar",4
Raymond,"Lesecafe",3
Marilyn,"Ristorante l'Aperitivo. Win bar coffe bar lounge bar pizzeria",3
Marilyn,"Donerhaus Dest",4
Marilyn,"Fratelli Pizza Pasta Bar",4
Marilyn,"Hotel Rheinstein",3
Leonard,"Sachers Cafe Alte Munz",3
Leonard,"Sandwicher",4
Leonard,"Kaffe Haus Madlen",3
Jorge,"Gaststatte Riedbahnklause",4
Jorge,"Speisegaststatte Feldberg Gaststatten",4
Jorge,"Faselstall",4
Jorge,"Gaststatte Krackhof",3
Andre,"Zur frischen Quelle",1
Cynthia,"Pizzeria Forum Galati",3
Cynthia,"Gaststatte Riedbahnklause",4
Barbara,"IN+ART INos+ARTos",4
Barbara,"Godenhouse Chinarestaurant",3
Clayton,"Mainterrasse Hassia",3
Clayton,"Zur Staustufe",4
Clayton,"Muckenwirt",4
Norman,"Starbucks",3
Norman,"Gosch Fisch-Bistro",3
Norman,"Zum Lowen",3
Danielle,"Brunnenwarterhaus",4
Greg,"Hansenhaus links",4
Greg,"Artemis Palace",2
Greg,"Restaurant Sonono",2
Francisco,"China Haus Chui, Kiet Zhanh",3
Francisco,"Pizza und Pasta Tonini",3
Francisco,"Altes Sudhaus",3
Dakota,"Leonhards",3
Dakota,"Restaurant Zum kleinen Italiener",3
Louis,"Il Brigantino da Francesco",4
Louis,"Man Wah",4
Louis,"Locanda in der Alten Post Inh.Wolfgang Janke",3
Keith,"Restaurant Sterkel",3
Keith,"Saftbar",4
Keith,"Bauschemer Stubb'che",4
Keith,"Athos Inh. Andreas Nikolaou Griechisches Restaurante",4
Pamela,"James Joyce Pub",2
Pamela,"Little Tokyo",3
Pamela,"Bomatscher Elb-Panoramagaststatte Und Pension",3
Pamela,"Eulenpick",3
Lynn,"Akebono",4
Lynn,"Restaurant Memory",3
Lynn,"Biancalani Cucina",4
Lynn,"Trattoria Promis",4
Kylie,"Dschingis Khan Au Garden",4
Sherri,"Alte Schule",3
Sherri,"Leonhards",3
Robin,"Bernemer Brunnchen",3
Robin,"Pizzeria Albatros",4
Robin,"Adel.es Restaurant",4
Robin,"Alte Zollwache",3
Kristin,"Asia Thai Imbiss am Zoo",3
Kristin,"Eulenpick",4
Kristin,"Fratelli Pizza Pasta Bar",3
Claire,"Lapp",3
Claire,"Bierbrunnen",4
Claire,"El-Rayyan",3
Claire,"Gasthof Adler",3
Veronica,"Dynastie Chinese Fastfood",2
Veronica,"Pizzeria Milano",4
Veronica,"China Restaurant Kaiser",4
Sabrina,"Casanostra",4
Sabrina,"Yang-Ji",3
Sabrina,"Ristorante Pizzeria Toscana",4
Sabrina,"Manolya",4
Dean,"Pizzeria Party",3
Maurice,"Pizza und Pasta Tonini",4
Maurice,"Da Gigi",2
Maurice,"Man Wah",2
Maurice,"Pizzeria Primavera",2
Deanna,"Burg Cafe Restaurant",4
Deanna,"Muller Bistro",4
Deanna,"Hooters American Sports Bar",3
Kristina,"Casanostra",3
Kristina,"Restaurant Zum kleinen Italiener",3
Kristina,"Gaststatte Metzger",4
Kristina,"Bierbrunnen",3
Alicia,"Coco",2
Alicia,"Hollywood / Schacht Barbara",4
Alicia,"Tijol",2
Chad,"Il Brigantino da Francesco",3
Chad,"Burgerstuben",2
Chad,"Gasthof Adler",3
Teresa,"Zweite Heimat",3
Teresa,"Bauschemer Stubb'che",4
Teresa,"Pik-Dame",4
Teresa,"Landgasthof Dorfschanke",4
Phyllis,"Odenwalder Bauernstube",3
Chris,"Bistro 1904 am Hotel Kurfurst Wilhelm I.",3
Chris,"Landhaus Furstengarten",1
Chris,"Luna Bar",3
Seth,"Zweite Heimat",3
Nathaniel,"Yours Australian Bar",3
Nathaniel,"Goldener Anker",4
Nathaniel,"Strandperle Bistro and Bar",2
Nathaniel,"Gaststatte Metzger",4
Sydney,"Da Gigi",4
Sydney,"Restaurant Sonono",3
Sydney,"Ristorante Pizzeria Toscana",4
Erin,"Neu Kong Fondue Restaurant",3
Erin,"Land & Leute",4
Nichole,"Weiherhaus",3
Nichole,"Odenwalder Bauernstube",3
Edward,"La",3
Darrell,"Doener Kebap",3
Darrell,"Wollbacher Tor",4
Darrell,"Man Wah",4
Janice,"Ginnheimer Wirtshaus",4
Janice,"Restaurante Raffaele",4
Janice,"Urfa Kebap Haus",3
Benjamin,"Cafe Hilde",4
Benjamin,"Doener Kebap",3
Benjamin,"Burg Cafe Restaurant",3
Jo,"Pizzeria Primavera",3
Jo,"Lapp",4
Jo,"Zur Staustufe",3
Jo,"China Restaurant Kaiser",4
Jo,"Wein Zeit",4
Jimmy,"Tajinerie",4
Jimmy,"Gasthof Altes Casino Restaurant",3
Jimmy,"Casanostra",2
Audrey,"Restaurant Sonono",4
Audrey,"The Edge",4
Ian,"Gaststatte Riedbahnklause",3
Ian,"Gutsschanke Schloss Johannisberg",2
Ian,"Landhaus Furstengarten",4
Ian,"Ratsschanke Wetzlar",4
Mario,"Restaurant Memory",4
Mario,"Godenhouse Chinarestaurant",4
Mario,"Miro's",4
Mario,"Biancalani Cucina",2
Cindy,"Tijol",4
Cindy,"Ginnheimer Wirtshaus",3
Trevor,"Rhodos",3
Trevor,"Bomatscher Elb-Panoramagaststatte Und Pension",4
Jasmine,"Mr. Thai Imbiss",4
Jasmine,"Asia Thai Imbiss am Zoo",3
Jasmine,"Papanova",3
Jasmine,"Da Gigi",3
Shannon,"Enchilada Kassel",3
Shannon,"Hexenkessel",3
Shannon,"Burger King",2
Shannon,"Grohe",2
Edgar,"Super-Guru",3
Brad,"Pizza-Haus Zicke",3
Brad,"Eulenpick",4
Brad,"Zum Spitzer",3
Summer,"Restaurant Feldbergblick",4
Summer,"Pizza und Pasta Tonini",4
Angel,"Gasthof zum Ulmenstein, Harald Trapp",3
Lindsey,"Marktstube",2
Lindsey,"Mogks Bierstubb",3
Renee,"Grohe",1
Renee,"Restaurant Sonono",2
Renee,"Ristorante Pizzeria Pierrot da Pino",3
Renee,"XO",4
Calvin,"Artemis Palace",4
Calvin,"Tadim",2
Calvin,"Bockenheimer Stubb",4
Calvin,"Ratsstube",3
Sara,"Bistro 1904 am Hotel Kurfurst Wilhelm I.",3
Sara,"Rhodos",2
Sara,"Leib & Seele",4
Marc,"Rottger",4
Marc,"Leib & Seele",1
Frederick,"Restaurant Sterkel",2
Frederick,"Cubana",2
Frederick,"Pik-Dame",4
Frederick,"Zum Bizzenbachtal",4
Madeline,"Ristorante Pizzeria Toscana",3
Madeline,"Landgasthof am Brunnen Inh. Harald Knobel",3
Brittney,"La Galleria",4
Brittney,"Man Wah",4
Brittney,"McDonald's",3
Brittney,"Yam Yam",4
Brittney,"Restaurant Zum kleinen Italiener",4
Dominique,"Restaurant-Konoba "Zum Ritter"",3
Dominique,"Gosch Fisch-Bistro",3
Tristan,"Sonne Inh. Leubecher",2
Tristan,"Kaffeemanufaktur Hirschhorn GmbH & Co KG",4
Latasha,"Eiscafe Bistro Milano",2
Latasha,"Zum Bembelsche",2
Latasha,"Eulenpick",3
Latasha,"Qbar",4
Latasha,"Pizzeria Bistro Leonardo",3
Arthur,"Zur Platane",4
Arthur,"Enchilada Kassel",4
Rita,"GSV Gundernhausen Helga Kaiser",3
Rita,"Restaurant Zum kleinen Italiener",2
Rita,"Altes Sudhaus",2
Rita,"Bauschemer Stubb'che",4
Rita,"IN+ART INos+ARTos",2
Laurie,"Pizzeria Santa Lucia",4
Judith,"Doener Kebap",4
Judith,"Pizzeria Avanti",2
Judith,"Gaststatte Krackhof",4
Judith,"Pik-Dame",4
Leah,"Biancalani Cucina",4
Leah,"Pizzeria Carlo",4
Leah,"Schlossterasssen",4
Leah,"Pizza-Haus Zicke",4
Debra,"James Joyce Pub",2
Bobby,"Satisfaction",3
Roger,"Pizzeria Amalfi",5
Julia,"XO",4
Julia,"Coco",2
Gregory,"Gaststatte Ross",3
Eve,"Pik-Dame",2
Eve,"Gaststatte Metzger",5
Eve,"My Coffee Backshop",4
